Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
9/27/2017,DKI1,44,17,20,22,3,44,PM10,BAIK
9/28/2017,DKI1,60,16,31,81,7,81,O3,SEDANG
9/29/2017,DKI1,59,17,22,55,9,59,PM10,SEDANG
9/30/2017,DKI1,42,17,20,56,4,56,O3,SEDANG
10/1/2017,DKI1,52,17,20,53,4,53,O3,SEDANG
10/2/2017,DKI1,48,17,26,47,4,48,PM10,BAIK
10/3/2017,DKI1,50,17,22,65,7,65,O3,SEDANG
10/4/2017,DKI1,53,17,20,62,6,62,O3,SEDANG
10/5/2017,DKI1,60,18,21,49,5,60,PM10,SEDANG
10/6/2017,DKI1,48,20,16,36,4,48,PM10,BAIK
10/7/2017,DKI1,52,17,20,82,4,82,O3,SEDANG
10/8/2017,DKI1,39,18,19,41,4,41,O3,BAIK
10/9/2017,DKI1,53,17,19,68,5,68,O3,SEDANG
10/10/2017,DKI1,71,17,30,55,6,71,PM10,SEDANG
10/11/2017,DKI1,54,19,20,77,5,77,O3,SEDANG
10/12/2017,DKI1,46,17,23,89,6,89,O3,SEDANG
10/13/2017,DKI1,58,18,29,125,7,125,O3,TIDAK SEHAT
10/14/2017,DKI1,36,18,19,107,5,107,O3,TIDAK SEHAT
10/15/2017,DKI1,29,19,15,95,4,95,O3,SEDANG
10/16/2017,DKI1,36,20,18,55,4,55,O3,SEDANG
10/17/2017,DKI1,50,18,22,120,6,120,O3,TIDAK SEHAT
10/18/2017,DKI1,36,20,21,115,6,115,O3,TIDAK SEHAT
10/19/2017,DKI1,51,17,23,44,5,51,PM10,SEDANG
10/20/2017,DKI1,51,17,24,96,6,96,O3,SEDANG
10/21/2017,DKI1,73,18,37,76,7,76,O3,SEDANG
10/22/2017,DKI1,49,18,21,64,3,64,O3,SEDANG
10/23/2017,DKI1,52,19,17,74,6,74,O3,SEDANG
10/24/2017,DKI1,53,19,25,95,5,95,O3,SEDANG
10/25/2017,DKI1,55,20,20,79,5,79,O3,SEDANG
10/26/2017,DKI1,53,20,19,46,4,53,PM10,SEDANG
10/27/2017,DKI1,42,22,18,91,8,91,O3,SEDANG
10/28/2017,DKI1,42,20,23,73,6,73,O3,SEDANG
10/29/2017,DKI1,64,19,33,66,6,66,O3,SEDANG
10/30/2017,DKI1,58,20,24,71,5,71,O3,SEDANG
10/31/2017,DKI1,40,19,21,67,5,67,O3,SEDANG
11/1/2017,DKI1,40,21,19,88,11,88,O3,SEDANG
11/2/2017,DKI1,51,23,19,136,6,136,O3,TIDAK SEHAT
11/3/2017,DKI1,51,21,19,105,8,105,O3,TIDAK SEHAT
11/4/2017,DKI1,55,21,20,87,5,87,O3,SEDANG
11/5/2017,DKI1,64,20,27,57,9,64,PM10,SEDANG
11/6/2017,DKI1,32,17,16,49,3,49,O3,BAIK
11/7/2017,DKI1,37,17,19,12,3,37,PM10,BAIK
11/8/2017,DKI1,53,19,27,43,5,53,PM10,SEDANG
11/9/2017,DKI1,52,19,21,56,4,56,O3,SEDANG
11/10/2017,DKI1,50,19,28,101,5,101,O3,TIDAK SEHAT
11/11/2017,DKI1,56,20,24,150,5,150,O3,TIDAK SEHAT
11/12/2017,DKI1,44,18,18,81,3,81,O3,SEDANG
11/13/2017,DKI1,28,18,21,60,4,60,O3,SEDANG
11/14/2017,DKI1,52,19,27,71,5,71,O3,SEDANG
11/15/2017,DKI1,48,19,22,102,5,102,O3,TIDAK SEHAT
11/16/2017,DKI1,54,26,27,125,6,125,O3,TIDAK SEHAT
11/17/2017,DKI1,---,---,32,---,---,32,CO,BAIK
11/18/2017,DKI1,59,22,27,80,5,80,O3,SEDANG
11/19/2017,DKI1,46,20,22,79,9,79,O3,SEDANG
11/20/2017,DKI1,48,21,20,128,5,128,O3,TIDAK SEHAT
