,0,1,2,3,4,5
291,57.0,52.0,16.0,86.0,14.0,86.0
292,51.0,52.0,25.0,71.0,13.0,71.0
293,84.0,53.0,42.0,104.0,15.0,104.0
294,67.0,53.0,13.0,80.0,9.0,80.0
295,66.0,52.0,16.0,78.0,10.0,78.0
296,51.0,52.0,10.0,110.0,8.0,110.0
297,52.0,52.0,9.0,93.0,10.0,93.0
298,61.0,53.0,9.0,53.0,12.0,61.0
299,56.0,53.0,10.0,77.0,14.0,77.0
300,73.0,52.0,15.0,69.0,11.0,73.0
301,80.0,52.0,29.0,53.0,9.0,80.0
302,74.0,52.0,16.0,52.0,15.0,74.0
303,57.0,52.0,9.0,77.0,12.0,77.0
304,55.0,53.0,6.0,100.0,9.0,100.0
305,83.0,54.0,8.0,98.0,10.0,98.0
306,65.0,53.0,8.0,86.0,15.0,86.0
307,66.0,53.0,4.0,71.0,24.0,71.0
308,72.0,53.0,7.0,63.0,12.0,72.0
309,54.0,53.0,21.4,46.0,7.0,54.0
310,51.0,53.0,6.0,44.4,10.0,53.0
311,57.0,53.0,18.0,49.0,9.0,57.0
312,59.0,53.0,15.0,51.2,10.0,59.0
313,52.0,53.0,10.0,106.0,11.0,106.0
314,58.0,53.0,12.0,122.0,12.0,122.0
315,48.0,52.0,9.0,99.0,9.0,99.0
316,51.0,53.0,13.0,52.0,11.0,53.0
317,54.0,53.0,19.0,89.0,11.0,89.0
318,46.0,53.0,10.0,98.0,20.0,98.0
319,72.0,53.0,11.0,85.0,15.0,85.0
320,51.0,53.0,20.0,126.0,18.0,126.0
321,55.0,53.0,16.0,55.0,10.0,55.0
322,74.2,53.0,16.0,80.0,8.0,80.0
323,63.6,53.0,12.0,79.0,9.0,79.0
324,59.0,54.0,10.2,97.0,15.0,97.0
325,65.0,53.0,13.0,117.0,10.0,117.0
326,51.0,53.0,10.0,50.0,8.0,53.0
327,38.0,53.0,6.0,31.0,6.0,53.0
328,40.0,53.0,6.0,24.0,7.0,53.0
329,25.0,53.0,7.2,24.0,3.0,53.0
330,12.0,52.0,7.6,17.0,5.0,52.0
331,16.0,53.0,7.6,17.0,4.0,53.0
332,25.0,53.0,6.8,28.0,4.0,53.0
333,20.0,27.0,7.2,24.0,6.0,27.0
334,16.0,26.0,6.2,17.0,4.0,26.0
335,35.0,26.0,8.0,22.0,5.0,35.0
336,39.0,27.0,12.6,32.0,5.0,39.0
337,30.0,27.0,5.2,22.0,3.0,30.0
338,37.0,27.0,7.0,50.0,6.0,50.0
339,43.0,28.0,6.0,86.0,7.0,86.0
340,41.0,31.0,5.0,66.0,8.0,66.0
341,41.0,29.0,13.2,63.0,6.0,63.0
342,21.0,27.0,5.8,28.0,5.0,28.0
343,20.0,27.0,4.6,17.0,3.0,27.0
344,31.0,27.0,5.2,20.0,4.0,31.0
345,24.0,27.0,12.0,46.0,8.0,46.0
346,24.0,27.0,6.0,14.0,7.0,27.0
347,35.0,28.0,7.0,58.0,13.0,58.0
348,41.0,28.0,7.0,35.0,7.0,41.0
349,63.0,29.0,14.0,38.0,7.0,63.0
350,31.0,28.0,10.2,27.0,7.0,31.0
351,20.0,29.0,10.6,32.0,7.0,32.0
352,33.0,29.0,12.0,38.0,8.0,38.0
353,39.0,28.0,8.0,33.0,9.0,39.0
354,35.0,28.0,15.0,34.0,7.0,35.0
355,25.0,28.0,9.2,33.0,5.0,33.0
356,28.0,30.0,8.2,37.0,4.0,37.0
357,38.0,30.0,13.0,43.0,5.0,43.0
358,30.0,29.0,9.0,30.0,5.0,30.0
359,38.0,30.0,14.2,33.0,4.0,38.0
360,55.0,30.0,16.6,27.0,5.0,55.0
361,29.0,30.0,9.0,48.0,6.0,48.0
362,72.0,35.0,27.0,77.0,13.0,77.0
363,60.0,34.0,19.0,56.0,9.0,60.0
364,63.0,33.0,25.0,36.0,9.0,63.0
365,76.0,31.0,31.0,33.0,6.0,76.0
366,23.0,31.0,7.0,36.0,3.0,36.0
367,53.0,35.0,16.0,96.0,10.0,96.0
368,53.0,33.0,12.0,49.0,9.0,53.0
369,44.0,32.0,12.0,18.0,6.0,44.0
370,18.0,30.0,5.0,21.0,4.0,30.0
371,26.0,30.0,8.0,19.0,5.0,30.0
372,62.0,32.0,16.0,48.0,6.0,62.0
373,45.0,32.0,11.0,37.0,7.0,45.0
374,36.0,34.0,12.0,55.0,9.0,55.0
375,37.0,38.0,9.0,43.0,7.0,43.0
376,37.0,33.0,13.0,47.0,9.0,47.0
377,51.0,26.0,13.0,40.8,8.0,51.0
378,26.0,72.0,7.0,29.0,5.0,72.0
379,22.0,72.0,11.0,50.0,7.0,72.0
380,18.0,70.0,7.0,36.6,5.0,70.0
381,35.0,52.0,12.0,28.0,11.0,52.0
382,38.0,52.0,19.0,34.6,10.0,52.0
383,36.0,51.0,29.0,24.0,13.0,51.0
384,24.0,51.0,7.0,29.0,5.0,51.0
385,21.0,51.0,6.0,31.0,4.0,51.0
386,20.0,52.0,7.0,25.0,3.0,52.0
387,22.0,52.0,7.0,45.0,5.0,52.0
388,33.0,53.0,15.0,38.0,7.0,53.0
389,21.0,53.0,8.0,23.0,6.0,53.0
390,18.0,53.0,7.0,19.0,5.0,53.0
391,23.0,54.0,6.0,31.0,4.0,54.0
392,34.0,55.0,9.0,33.0,6.0,55.0
393,16.0,54.0,8.0,13.0,5.0,54.0
394,14.0,21.0,8.0,16.0,4.0,16.0
395,21.0,54.0,8.0,31.0,5.0,54.0
396,37.0,43.0,21.0,40.0,9.0,43.0
397,44.0,45.0,33.0,41.0,12.0,45.0
398,39.0,44.0,16.0,39.0,12.0,44.0
399,32.0,47.0,17.0,34.0,11.0,47.0
400,26.0,46.0,11.0,26.0,7.0,46.0
401,45.0,48.0,23.0,38.0,11.0,48.0
402,42.0,50.0,23.0,35.0,11.0,50.0
403,52.0,49.0,38.0,31.0,11.0,52.0
404,53.0,31.4,47.0,30.0,10.0,53.0
405,40.0,2.0,30.0,34.0,10.0,40.0
406,35.0,3.0,12.0,29.0,7.0,35.0
407,50.0,2.0,24.0,40.0,7.0,50.0
408,57.0,2.0,17.0,38.0,10.0,57.0
409,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
410,55.0,2.0,47.0,22.0,12.0,55.0
411,19.0,2.0,11.0,31.0,5.0,31.0
412,53.0,3.0,18.0,31.0,11.0,53.0
413,30.0,3.0,11.0,45.0,6.0,45.0
414,30.0,3.0,11.0,34.0,7.0,34.0
415,45.0,5.0,22.0,41.0,11.0,45.0
416,57.0,5.0,12.0,41.0,11.0,57.0
417,53.0,4.0,20.0,35.0,10.0,53.0
418,64.0,5.0,20.0,61.0,14.0,64.0
419,41.0,2.0,12.0,42.0,10.0,42.0
420,64.2,3.0,13.0,64.0,10.0,64.0
421,49.4,4.0,10.0,58.0,10.0,58.0
422,37.0,3.0,19.0,52.0,12.0,52.0
423,54.0,2.0,16.0,43.0,10.0,54.0
424,72.0,3.0,27.0,70.0,15.0,72.0
425,51.0,4.0,18.0,95.0,11.0,95.0
426,62.0,6.0,12.0,54.0,18.0,62.0
427,60.0,5.0,23.0,95.0,19.0,95.0
428,61.0,4.0,27.0,50.0,11.0,61.0
429,64.0,24.0,21.0,62.0,13.0,64.0
430,55.0,21.0,27.0,32.0,10.0,55.0
431,50.0,21.0,14.0,44.0,9.0,50.0
432,53.0,22.0,21.0,48.0,12.0,53.0
433,53.0,23.0,23.0,27.0,9.0,53.0
434,39.0,22.0,14.0,32.0,8.0,39.0
435,32.0,22.0,16.0,40.0,9.0,40.0
436,33.0,25.0,9.0,33.0,5.0,33.0
437,58.0,28.0,16.0,61.0,8.0,61.0
438,56.0,24.0,15.0,42.0,9.0,56.0
